시도명,시군명,승용차,승합차,화물차,특수차,계
서울,강남구,"232,858","4,359","15,853",541,"253,611"
서울,강동구,"149,711","3,837","14,674",482,"168,704"
서울,강북구,"62,095","2,755","7,999",277,"73,126"
서울,강서구,"175,687","5,251","20,132",735,"201,805"
서울,관악구,"101,839","3,160","11,130",382,"116,511"
서울,광진구,"83,439","2,318","10,414",242,"96,413"
서울,구로구,"123,765","4,226","16,185",497,"144,673"
서울,금천구,"74,217","2,851","12,765",314,"90,147"
서울,노원구,"134,097","3,825","11,817",538,"150,277"
서울,도봉구,"80,609","2,709","9,973",365,"93,656"
서울,동대문구,"88,899","2,571","11,914",311,"103,695"
서울,동작구,"95,870","2,210","7,562",332,"105,974"
서울,마포구,"105,784","3,077","11,867",750,"121,478"
서울,서대문구,"80,716","2,395","7,563",265,"90,939"
서울,서초구,"156,778","3,581","14,714",493,"175,566"
서울,성동구,"90,951","2,664","10,081",352,"104,048"
서울,성북구,"108,324","3,726","10,083",315,"122,448"
서울,송파구,"213,705","5,455","21,880",820,"241,860"
서울,양천구,"131,703","3,648","13,736",717,"149,804"
서울,영등포구,"120,954","3,641","17,168","1,118","142,881"
서울,용산구,"64,888","1,888","6,108",199,"73,083"
서울,은평구,"117,971","3,539","11,800",398,"133,708"
서울,종로구,"41,091","3,053","5,489",297,"49,930"
서울,중구,"41,422","2,737","5,869",347,"50,375"
서울,중랑구,"97,254","3,389","14,123",575,"115,341"
서울,계,"2,774,627","82,865","300,899","11,662","3,170,053"
부산,강서구,"72,124","1,953","19,135","1,093","94,305"
부산,금정구,"66,992","2,906","12,479",847,"83,224"
부산,기장군,"76,584","2,518","12,012",490,"91,604"
부산,남구,"84,512","2,503","12,925","1,779","101,719"
부산,동구,"45,913","1,027","5,898","1,129","53,967"
부산,동래구,"90,226","2,211","11,493",483,"104,413"
부산,부산진구,"153,803","3,191","15,571",774,"173,339"
부산,북구,"88,504","2,360","13,269",470,"104,603"
부산,사상구,"68,611","2,243","16,336",569,"87,759"
부산,사하구,"96,204","2,910","14,687",519,"114,320"
부산,서구,"26,911",880,"4,536",153,"32,480"
부산,수영구,"125,540","2,147","6,663",518,"134,868"
부산,연제구,"139,341","2,845","11,303",949,"154,438"
부산,영도구,"27,629","1,279","4,445",118,"33,471"
